X,Y,u_x_actual,u_y_actual,u_pred,v_pred,err_u,err_v,pct_err_u,pct_err_v
-0.5,-0.25,1.4836330447932636e-19,1.2634333775348325e-19,5.71087e-06,0.000887353,5.710870027541966e-06,0.0008873529732227324,0.0,0.0
-0.48,-0.25,0.00091010406408388,0.0009363997860332622,0.00051834434,0.0009776279,0.0003917597213752924,4.122814699209789e-05,43.045596304378854,4.402836011608551
-0.5,-0.23,-1.53e-20,-4.19e-20,1.8551946e-06,0.00075932965,1.8551945686340484e-06,0.0007593296468257904,0.0,0.0
-0.48,-0.23,0.0005332042945539629,0.0006506182134618734,0.0005140789,0.0008448176,1.9125409237114185e-05,0.00019419939513302096,3.5868820698664865,29.848441238634514
-0.5,-0.21,2.321674973962362e-21,-6.6300000000000006e-21,1.1920929e-06,0.0006443523,1.1920928955078102e-06,0.0006443522870540619,0.0,0.0
-0.48,-0.21,0.0004401276153346484,0.0004956338106204604,0.0005132966,0.00072430447,7.316895901952333e-05,0.0002286706568191911,16.62448718740126,46.13701727348447
-0.46,-0.25,0.001476459,0.001475144,0.0010296367,0.0010669194,0.00044682228911781317,0.00040822458381080634,30.263101726347507,27.673541282126106
-0.46,-0.23,0.001124436,0.001205482,0.0010247938,0.0009297468,9.964216650581352e-05,0.0002757352231807708,8.861524044571103,22.873441758630225
-0.5,-0.19,5.509691619952069e-20,1.5138161658808906e-20,2.425164e-06,0.000542175,2.425163984298651e-06,0.0005421750247478485,0.0,0.0
-0.48,-0.19,0.00040467861841047984,0.0004018832054265189,0.0005143769,0.00061565265,0.00010969829013024587,0.0002137694451681924,27.107508313912206,53.19193295010145
-0.46,-0.21,0.0009476193941243624,0.0009739841145934736,0.0010237694,0.0008040406,7.614998453774697e-05,0.0001699435336055433,8.03592507813884,17.448285968860507
-0.44,-0.25,0.00197013,0.001866834,0.0015396103,0.0011546127,0.00043051967370986944,0.0007122212501850128,21.852348510497755,38.151289840714966
-0.44,-0.23,0.001673311,0.001616218,0.0015339032,0.0010134168,0.00013940781844711306,0.0006028012030773163,8.33125572276242,37.29702324051064
-0.5,-0.17,4.63e-20,-9.44e-21,4.656613e-06,0.00045247003,4.656612873077346e-06,0.0004524700343608856,0.0,0.0
-0.48,-0.17,0.000388,0.0003341258980525966,0.00051612407,0.00051850453,0.00012812406969070435,0.00018437863213882492,33.021667446057826,55.18238281242146
-0.46,-0.19,0.000863,0.000801,0.0010247491,0.0006893836,0.0001617491300106048,0.00011161640381813045,18.742657011657567,13.934632187032516
-0.44,-0.21,0.001476302,0.001370527,0.0015325099,0.00088293105,5.6207922981262124e-05,0.0004875959463615418,3.8073458534406996,35.57725943097376
-0.42,-0.25,0.00243458,0.002170031,0.002048377,0.0012402013,0.0003862030523586273,0.0009298297055778506,15.86323112646236,42.84868306387561
-0.42,-0.23,0.002188325,0.001930605,0.0020414777,0.0010953844,0.00014684728999137886,0.0008352206406402587,6.710488158357595,43.26211942060954
-0.5,-0.15,1.598785588298549e-19,-1.1099999999999999e-23,7.4207783e-06,0.00037475675,7.420778274535973e-06,0.00037475675344467163,0.0,0.0
-0.48,-0.15,0.00037841786618126054,0.00027957571801647446,0.00051790476,0.0004323125,0.0001394868922721086,0.00015273677053943374,36.860546168106914,54.63162953602196
-0.46,-0.17,0.0008193344268457105,0.0006676133649450814,0.00102612,0.0005852431,0.00020678560999472836,8.237025905671468e-05,25.23824255631679,12.338018287499464
-0.44,-0.19,0.001357851,0.001156498,0.0015332922,0.000762634,0.00017544123394393923,0.0003938640206794738,12.920507032357692,34.05661061925518
-0.42,-0.21,0.001999301,0.001685068,0.0020393915,0.00096042827,4.009054744148234e-05,0.0007246397322826386,2.0052281993297827,43.00358990157303
-0.4,-0.25,0.00288571,0.00240989,0.0025558956,0.001323279,0.0003298144032573701,0.0010866110066318512,11.429228968169708,45.089651670070054
-0.4,-0.23,0.002682466,0.002176389,0.002547484,0.0011751652,0.0001349821087512971,0.0010012238236083984,5.032015643489875,46.00390020388811
-0.5,-0.13,2.6188348465311742e-20,-6.37e-22,1.0382384e-05,0.00030785054,1.0382384061813329e-05,0.00030785053968429565,0.0,0.0
-0.48,-0.13,0.0003728584387915604,0.00023277277914710115,0.0005193427,0.00035615265,0.00014648428171701506,0.00012337987454705168,39.2868355593004,53.00442560299611
-0.46,-0.15,0.0007940669344545118,0.0005583018879857439,0.00102707,0.00049105287,0.00023300305141203486,6.724902200368828e-05,29.34299884582116,12.045279346324808
-0.44,-0.17,0.001286998,0.000975610760921342,0.0015344061,0.00065197796,0.0002474080957431794,0.0003236328046263286,19.22365813646792,33.172328308545715
-0.42,-0.19,0.001867007,0.0014534,0.0020398423,0.0008348599,0.00017283530756759648,0.0006185400923728944,9.257346521335833,42.558145890525275
-0.4,-0.21,0.002511447,0.001933302,0.0025444143,0.0010360032,3.29672520427704e-05,0.0008972987679977417,1.3126795844296297,46.41275744802114
-0.38,-0.25,0.003331767,0.002601219,0.0030623302,0.0014033467,0.0002694368136329649,0.0011978723422470094,8.086904445387836,46.0504225998276
-0.38,-0.23,0.003164596,0.002370415,0.0030519664,0.0012522712,0.00011262957124328612,0.0011181437650108336,3.5590505468402958,47.17080194863911
-0.5,-0.11,1.890843762233803e-20,5.548645818949279e-21,1.2882054e-05,0.00024999306,1.288205385208128e-05,0.00024999305605888367,0.0,0.0
-0.48,-0.11,0.00036935877074975994,0.0001909664506474106,0.000520207,0.00028862432,0.00015084821710805867,9.765786580652312e-05,40.840567235442236,51.13875525017373
